label,hand_label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
A,0,0.0,0.0,0.0,-0.05680590867996216,-0.022365450859069824,-0.029773469305382605,-0.10716933012008667,-0.09518969058990479,-0.03837156969939315,-0.125779926776886,-0.1663285195827484,-0.044359053707466956,-0.11140573024749756,-0.2190150022506714,-0.042530178314791556,-0.07639670372009277,-0.18762052059173584,-0.002614464833186503,-0.07771199941635132,-0.2140907347202301,-0.029324881023512717,-0.0714614987373352,-0.14852237701416016,-0.03901123184596145,-0.06823313236236572,-0.14127957820892334,-0.04410858753954017,-0.034314513206481934,-0.19424185156822205,-0.0008871037757671729,-0.03887760639190674,-0.22403764724731445,-0.03223906386529052,-0.039889395236968994,-0.1428353190422058,-0.034327390826092596,-0.03644669055938721,-0.14461368322372437,-0.027817656508432265,0.0059354305267333984,-0.18705981969833374,-0.006430426369206543,0.0033705830574035645,-0.2043139934539795,-0.038417524880514975,-0.006052970886230469,-0.13113486766815186,-0.025972985884891386,-0.005049586296081543,-0.13558882474899292,-0.009876646323846217,0.04585951566696167,-0.17330029606819153,-0.015089639684902068,0.038347721099853516,-0.17455178499221802,-0.03178451511894309,0.02676689624786377,-0.12631797790527344,-0.02303972955678546,0.02699333429336548,-0.12832695245742798,-0.0121959021676048
A,0,0.0,0.0,0.0,-0.04982328414916992,-0.020695388317108154,-0.027443633589200545,-0.09487736225128174,-0.08474919199943542,-0.03495111985807853,-0.11115628480911255,-0.14775234460830688,-0.04004479496484237,-0.09474539756774902,-0.19257497787475586,-0.03823311178689437,-0.06761950254440308,-0.16144010424613953,-0.001270593085564542,-0.06546604633331299,-0.18717104196548462,-0.025043321016482878,-0.06214559078216553,-0.12982377409934998,-0.03384707419877486,-0.06133991479873657,-0.12458863854408264,-0.03845024033194022,-0.0313754677772522,-0.1679181456565857,0.0011448524312527297,-0.031695663928985596,-0.1948513686656952,-0.026722355920128393,-0.03397327661514282,-0.12342676520347595,-0.02857209666376548,-0.03322255611419678,-0.12583842873573303,-0.022673276427440214,0.002871572971343994,-0.16271355748176575,-0.00319986249064641,0.005160272121429443,-0.17792439460754395,-0.03179089276795821,-0.0037592649459838867,-0.11480027437210083,-0.02139193675225215,-0.005008041858673096,-0.11826276779174805,-0.007263781677238512,0.037535250186920166,-0.15137505531311035,-0.010432404640368986,0.03457522392272949,-0.15478461980819702,-0.025316222745232153,0.023675382137298584,-0.11253997683525085,-0.01818958035414653,0.02065032720565796,-0.11231210827827454,-0.00891486013983922
A,0,0.0,0.0,0.0,-0.05299299955368042,-0.014822691679000854,-0.025914039472013428,-0.10058408975601196,-0.0780906081199646,-0.03259901517060371,-0.11559909582138062,-0.14590902626514435,-0.03692571633484931,-0.0987054705619812,-0.1900080442428589,-0.034429250294238045,-0.07438415288925171,-0.15217405557632446,-0.0029505365620252633,-0.06844484806060791,-0.18803921341896057,-0.028425941252976372,-0.06409740447998047,-0.12773436307907104,-0.038118148231774285,-0.0665057897567749,-0.11813654005527496,-0.042709974581271126,-0.037768542766571045,-0.15768328309059143,-0.0017184780537036204,-0.03417050838470459,-0.19656988978385925,-0.02995245532122226,-0.035549163818359375,-0.12332731485366821,-0.03148744815018745,-0.03905034065246582,-0.123043954372406,-0.025487847635417893,-0.0032570958137512207,-0.15302425622940063,-0.007021804815053656,0.0026932954788208008,-0.1836317479610443,-0.03572274186637969,-0.004663944244384766,-0.11762379109859467,-0.024423740813404038,-0.008939564228057861,-0.11719551682472229,-0.009830839941173508,0.03216052055358887,-0.1432611495256424,-0.014980631889670804,0.03260523080825806,-0.15894025564193726,-0.02987972275343509,0.024064481258392334,-0.11411583423614502,-0.021328385928541138,0.020524680614471436,-0.11038863658905029,-0.01107682474878402
A,0,0.0,0.0,0.0,-0.05630260705947876,-0.01921287178993225,-0.024584921944097005,-0.10637044906616211,-0.08131662011146545,-0.03146703069205614,-0.12368237972259521,-0.15112507343292236,-0.036888255673602544,-0.10832256078720093,-0.19865231215953827,-0.03567792375679346,-0.08281052112579346,-0.158808171749115,-3.233062807339593e-05,-0.07981038093566895,-0.19858468323946,-0.027181410166576825,-0.07296913862228394,-0.13793249428272247,-0.03826273505683275,-0.07140439748764038,-0.12159574031829834,-0.04329661552901598,-0.04378795623779297,-0.16651754081249237,-0.0004111174434910936,-0.04402422904968262,-0.21014288067817688,-0.03121550840432974,-0.04368579387664795,-0.13377566635608673,-0.03433363412614199,-0.04314744472503662,-0.12779352068901062,-0.028418489667728863,-0.0070182085037231445,-0.1620023250579834,-0.007387665036276303,-0.00463181734085083,-0.19536785036325455,-0.03847184305186602,-0.011450409889221191,-0.12540729343891144,-0.027072546008184872,-0.013295888900756836,-0.1220918595790863,-0.011297295737222157,0.029413819313049316,-0.15063157677650452,-0.016931693005517445,0.026808321475982666,-0.16650211811065674,-0.032710029679492436,0.018526852130889893,-0.1204661875963211,-0.023144443455294095,0.01686406135559082,-0.11633986234664917,-0.011635702970579587
A,0,0.0,0.0,0.0,-0.05717301368713379,-0.012728631496429443,-0.02242080474712793,-0.1115601658821106,-0.07736265659332275,-0.027874948256396692,-0.13222241401672363,-0.1447438895702362,-0.03217287714102213,-0.11950606107711792,-0.19266167283058167,-0.029689475693487566,-0.08830460906028748,-0.15795187652111053,-0.0002735372723350338,-0.09475788474082947,-0.19183140993118286,-0.026115171410822313,-0.08305352926254272,-0.1289398968219757,-0.035458706118845384,-0.07747650146484375,-0.11906029284000397,-0.0395456028959984,-0.04984104633331299,-0.16724689304828644,-0.0014463084840485863,-0.059495747089385986,-0.20494043827056885,-0.0296738890788788,-0.05386662483215332,-0.12812113761901855,-0.02949373776533548,-0.048046886920928955,-0.12569375336170197,-0.021463069864296358,-0.011942923069000244,-0.16459780931472778,-0.009143217266284864,-0.019361376762390137,-0.19206061959266663,-0.037537995525383394,-0.020324766635894775,-0.12015101313591003,-0.023147914358162325,-0.016827762126922607,-0.11983984708786011,-0.005827696793460291,0.026181817054748535,-0.1562950313091278,-0.01944657767631952,0.015530288219451904,-0.1653502881526947,-0.03348844850876276,0.010434865951538086,-0.11883044242858887,-0.02277660536088888,0.01329582929611206,-0.11732366681098938,-0.010667078927838247
A,0,0.0,0.0,0.0,-0.06014186143875122,-0.008267223834991455,-0.01870250997905032,-0.12020647525787354,-0.07209599018096924,-0.023598603138964336,-0.14659130573272705,-0.13594238460063934,-0.027973595241348903,-0.13865837454795837,-0.1863139271736145,-0.025496266017000835,-0.09570646286010742,-0.16043344140052795,-0.0014406317409907388,-0.11682161688804626,-0.18923108279705048,-0.026784670705239932,-0.09746229648590088,-0.1240750104188919,-0.03550440369014041,-0.0850379467010498,-0.11436346173286438,-0.03956256357793109,-0.05817028880119324,-0.1736774742603302,-0.004300421269874732,-0.08258795738220215,-0.20594710111618042,-0.032162564972679775,-0.06875815987586975,-0.12675054371356964,-0.030278035605590503,-0.054950058460235596,-0.12313663959503174,-0.02145996054474608,-0.019726872444152832,-0.17294096946716309,-0.013006355779509704,-0.04185980558395386,-0.19612747430801392,-0.03947902021769778,-0.03519710898399353,-0.11969149112701416,-0.021596354598443668,-0.02423444390296936,-0.1197928935289383,-0.002761194881315987,0.01915094256401062,-0.16729000210762024,-0.024179267863075893,-0.0027708709239959717,-0.16604626178741455,-0.03682883752350108,-0.004319578409194946,-0.11733412742614746,-0.024762508625428836,0.003777056932449341,-0.12084808945655823,-0.01228021660659806
A,0,0.0,0.0,0.0,-0.05971136689186096,-0.016163289546966553,-0.017549927366360407,-0.1150316596031189,-0.07714292407035828,-0.023622152415498476,-0.1401614248752594,-0.1384716033935547,-0.029448694569452982,-0.1362474262714386,-0.1893434226512909,-0.02885508073626397,-0.08866506814956665,-0.16560876369476318,-0.0009389874957719258,-0.10996493697166443,-0.18443650007247925,-0.024021622744783144,-0.09118029475212097,-0.12131577730178833,-0.032563949955090266,-0.07947596907615662,-0.11962401866912842,-0.03826125620065568,-0.05049648880958557,-0.1791924238204956,-0.0037308954833292773,-0.07677090167999268,-0.2032865583896637,-0.03210450990258096,-0.06425917148590088,-0.12606000900268555,-0.03185351474343179,-0.050951093435287476,-0.12810909748077393,-0.025524594840987902,-0.013139933347702026,-0.17559626698493958,-0.011558608171924334,-0.03656274080276489,-0.19190573692321777,-0.03743643967567323,-0.031394362449645996,-0.11861127614974976,-0.019753086400612574,-0.019857436418533325,-0.12308749556541443,-0.0025369269041561893,0.021131008863449097,-0.16674789786338806,-0.021768993718012553,-0.0002021193504333496,-0.15556731820106506,-0.033272567225083094,-0.0030453503131866455,-0.10871368646621704,-0.022030851823672037,0.005970865488052368,-0.11774519085884094,-0.011458971557601672
A,0,0.0,0.0,0.0,-0.056727319955825806,-0.018923163414001465,-0.02089386392995607,-0.10672962665557861,-0.07744133472442627,-0.028074146776049247,-0.13032633066177368,-0.13099563121795654,-0.03353995044395219,-0.12101781368255615,-0.17503583431243896,-0.032518550349919906,-0.07550856471061707,-0.1737726330757141,-0.00283233944006156,-0.0972052812576294,-0.16943037509918213,-0.024712366579620948,-0.08097812533378601,-0.11259156465530396,-0.03468959738179933,-0.06996503472328186,-0.11515992879867554,-0.04166373942658197,-0.040098339319229126,-0.18726161122322083,-0.0030512971026439573,-0.0640704333782196,-0.18063858151435852,-0.02755563293263208,-0.05367448925971985,-0.11328881978988647,-0.027909518747179618,-0.04344266653060913,-0.1197614073753357,-0.023449886186568847,-0.006105273962020874,-0.18150809407234192,-0.008566613836734405,-0.02744579315185547,-0.16381284594535828,-0.031885217471568694,-0.02422255277633667,-0.10266858339309692,-0.018728656290619483,-0.015526354312896729,-0.11158710718154907,-0.0056913048648823406,0.024050652980804443,-0.16656291484832764,-0.016977209194152465,0.004080414772033691,-0.13524436950683594,-0.02873298299178373,0.001546233892440796,-0.09372580051422119,-0.021733738078324905,0.00904807448387146,-0.10272741317749023,-0.014422432115821948
A,0,0.0,0.0,0.0,-0.052662670612335205,-0.022817373275756836,-0.022382908115417877,-0.09685903787612915,-0.07948261499404907,-0.03157322163346521,-0.12032663822174072,-0.12600094079971313,-0.03895716796282045,-0.1098894476890564,-0.16578519344329834,-0.040300846645862975,-0.06298831105232239,-0.17787688970565796,-0.0032800518314104465,-0.08820664882659912,-0.16224229335784912,-0.02522571066978685,-0.07504129409790039,-0.11089062690734863,-0.03703150952819101,-0.06374290585517883,-0.1160392165184021,-0.04544039125207178,-0.03000277280807495,-0.1898227334022522,-0.00315676847125701,-0.0578019917011261,-0.16274559497833252,-0.02694670538070909,-0.04779359698295593,-0.10323649644851685,-0.029172197530300537,-0.036021530628204346,-0.11338233947753906,-0.026467549229295173,0.0008628368377685547,-0.1799759864807129,-0.008425296830267825,-0.024438470602035522,-0.14535307884216309,-0.031181783030064025,-0.020846188068389893,-0.09234517812728882,-0.020246605003507057,-0.011063754558563232,-0.10468560457229614,-0.008955072226257244,0.027013003826141357,-0.16026419401168823,-0.01690717096093408,0.004739105701446533,-0.12032824754714966,-0.02952009307804815,0.002575695514678955,-0.08368891477584839,-0.024488602379591384,0.009893476963043213,-0.09282690286636353,-0.018368835175664344
A,0,0.0,0.0,0.0,-0.04829293489456177,-0.0191497802734375,-0.02540710008040037,-0.09209179878234863,-0.07294422388076782,-0.035293277337103746,-0.11504501104354858,-0.12058818340301514,-0.04255930332735147,-0.1016644537448883,-0.15885639190673828,-0.04354758931592073,-0.0647936463356018,-0.1723473072052002,-0.005096949620991609,-0.08092546463012695,-0.15412479639053345,-0.0274888835687932,-0.06947407126426697,-0.10604286193847656,-0.03997809810832109,-0.06211566925048828,-0.1102912425994873,-0.048493634893446824,-0.03267955780029297,-0.18621206283569336,-0.0033702081841227027,-0.04889869689941406,-0.15312546491622925,-0.026638273133784196,-0.04166731238365173,-0.09714347124099731,-0.030008969812541864,-0.03537631034851074,-0.10716629028320312,-0.02807278370752897,-0.0012264847755432129,-0.17815661430358887,-0.007291217784285209,-0.01517331600189209,-0.1386919617652893,-0.029563114031105897,-0.01599019765853882,-0.09026849269866943,-0.02043070083752241,-0.01266855001449585,-0.10378050804138184,-0.010399860313981435,0.026524841785430908,-0.15915125608444214,-0.014714033326953313,0.012047529220581055,-0.11655306816101074,-0.02724454550340738,0.0068683624267578125,-0.08222424983978271,-0.023160096241980455,0.008405208587646484,-0.09155696630477905,-0.017617909221797845
